,Unnamed: 0,lat,lon,timestamp,amenity,name,brand:wikidata,cuisine,brand,chain_name,city,cluster
709,709,49.1170227,-122.6751086,2019-11-22T21:08:39.000-08:00,restaurant,Denny's,Q1189695,american,Denny's,Denny's,,15
710,710,49.1631911,-122.6612483,2019-09-27T12:22:59.000-07:00,fast_food,KFC,Q524757,chicken,KFC,KFC,,12
711,711,49.1631557,-122.6618859,2019-09-27T12:22:59.000-07:00,fast_food,Dairy Queen,Q1141226,ice_cream;burger,Dairy Queen,Dairy Queen,,12
712,712,49.0581533,-122.4939241,2019-09-25T14:48:42.000-07:00,fast_food,Booster Juice,Q4943796,juice,Booster Juice,Booster Juice,,47
713,713,49.2875882,-123.1216196,2019-10-04T18:43:21.000-07:00,cafe,Tim Hortons,Q175106,coffee_shop,Tim Hortons,Tim Hortons,Vancouver,0
714,714,49.249466,-123.1156479,2019-07-27T04:34:11.000-07:00,cafe,Tim Hortons,Q175106,coffee_shop,Tim Hortons,Tim Hortons,Vancouver,0
715,715,49.2869324,-123.1246607,2019-09-13T13:57:07.000-07:00,restaurant,Freshii,Q5503051,salad,Freshii,Freshii,Vancouver,0
716,716,49.2803846,-123.1309375,2019-08-29T18:01:23.000-07:00,cafe,Starbucks,Q37158,coffee_shop,Starbucks,Starbucks,Vancouver,0
717,717,49.0418988,-123.0829669,2020-04-18T23:45:02.000-07:00,fast_food,A&W,Q2818848,burger,A&W,A&W,,55
718,718,49.0406229,-123.0871553,2019-07-29T04:44:35.000-07:00,fast_food,Subway,Q244457,sandwich,Subway,Subway,,55
719,719,49.0419035,-123.0853223,2019-07-29T04:44:35.000-07:00,restaurant,Nando's,Q3472954,chicken;portuguese,Nando's,Nando's,,55
720,720,49.0404467,-123.0878766,2019-10-02T16:01:49.000-07:00,fast_food,Wendy's,Q550258,burger,Wendy's,Wendy's,,55
721,721,49.0410151,-123.0874949,2019-07-29T04:44:35.000-07:00,ice_cream,Menchie's,Q6816528,frozen_yogurt,Menchie's,Menchie's,,55
722,722,49.0414779,-123.0868778,2019-07-29T04:44:35.000-07:00,cafe,Starbucks,Q37158,coffee_shop,Starbucks,Starbucks,,55
723,723,49.0399045,-123.0888623,2020-04-18T23:45:02.000-07:00,fast_food,Arby's,Q630866,sandwich,Arby's,Arby's,,55
724,724,49.0404879,-123.0897972,2020-04-18T23:45:02.000-07:00,cafe,Tim Hortons,Q175106,coffee_shop,Tim Hortons,Tim Hortons,,55
725,725,49.035275,-123.0884974,2020-01-29T01:46:43.000-08:00,restaurant,Boston Pizza,Q894578,pizza,Boston Pizza,Boston Pizza,Delta,55
726,726,49.035036,-123.0876345,2020-01-29T01:46:43.000-08:00,restaurant,Montana's,Q17022490,barbecue,Montana's,Montana's,Delta,55
727,727,49.2546597,-122.7379001,2019-09-13T13:57:05.000-07:00,fast_food,Popeyes,Q1330910,chicken,Popeyes,Popeyes,Port Coquitlam,13
728,728,49.2533322,-122.7403668,2019-09-13T13:57:05.000-07:00,fast_food,Burger King,Q177054,burger,Burger King,Burger King,Port Coquitlam,13
729,729,49.2533171,-122.7374497,2019-09-23T20:16:20.000-07:00,fast_food,A&W,Q2818848,burger,A&W,A&W,Port Coquitlam,13
730,730,49.2563016,-122.7482111,2019-09-13T13:57:05.000-07:00,restaurant,Boston Pizza,Q894578,pizza,Boston Pizza,Boston Pizza,Port Coquitlam,13
731,731,49.2468654,-123.1013909,2019-10-29T21:16:32.000-07:00,fast_food,Freshslice Pizza,Q5503082,pizza,Freshslice Pizza,Freshslice Pizza,Vancouver,0
732,732,49.2594216,-123.1008786,2020-01-20T20:26:25.000-08:00,fast_food,Dairy Queen,Q1141226,ice_cream;burger,Dairy Queen,Dairy Queen,Vancouver,0
733,733,49.3102299,-123.0836006,2019-09-13T13:57:05.000-07:00,fast_food,McDonald's,Q38076,burger,McDonald's,McDonald's,North Vancouver,45
734,734,49.3208761,-123.0721449,2019-09-13T13:57:05.000-07:00,fast_food,Subway,Q244457,sandwich,Subway,Subway,North Vancouver,45
735,735,49.1582411,-122.7820519,2020-03-15T00:57:29.000-07:00,restaurant,Boston Pizza,Q894578,pizza,Boston Pizza,Boston Pizza,Surrey,37
736,736,49.1562658,-122.8899699,2020-03-15T00:44:42.000-07:00,fast_food,Church's Chicken,Q1089932,chicken,Church's Chicken,Church's Chicken,Surrey,24
737,737,49.2703957,-123.105986,2019-09-13T13:57:04.000-07:00,fast_food,Subway,Q244457,sandwich,Subway,Subway,Vancouver,0
738,738,49.2642321,-123.1144869,2019-09-13T13:57:04.000-07:00,cafe,Starbucks,Q37158,coffee_shop,Starbucks,Starbucks,Vancouver,0
739,739,49.2630818,-123.1264173,2019-09-13T13:57:04.000-07:00,restaurant,Johnny Rockets,Q1051593,burger,Johnny Rockets,Johnny Rockets,Vancouver,0
740,740,49.2812759,-123.0464917,2019-10-31T23:04:22.000-07:00,cafe,Tim Hortons,Q175106,coffee_shop,Tim Hortons,Tim Hortons,Vancouver,33
741,741,49.2659168,-123.2431691,2019-05-29T17:24:51.000-07:00,fast_food,Subway,Q244457,sandwich,Subway,Subway,Electoral Area A,8
742,742,49.2664689,-123.2433848,2019-05-29T17:24:51.000-07:00,fast_food,A&W,Q2818848,burger,A&W,A&W,Electoral Area A,8
743,743,49.2792817,-123.1169322,2019-08-29T17:37:11.000-07:00,cafe,Starbucks,Q37158,coffee_shop,Starbucks,Starbucks,Vancouver,0
744,744,49.2772564,-123.1187373,2019-08-29T17:37:11.000-07:00,cafe,Starbucks,Q37158,coffee_shop,Starbucks,Starbucks,Vancouver,0
745,745,49.2768092,-123.1148343,2019-08-29T17:37:11.000-07:00,cafe,Starbucks,Q37158,coffee_shop,Starbucks,Starbucks,Vancouver,0
746,746,49.2811772,-122.9944375,2019-09-23T20:21:40.000-07:00,fast_food,McDonald's,Q38076,burger,McDonald's,McDonald's,Burnaby,41
747,747,49.2808356,-123.0305122,2019-09-23T20:23:34.000-07:00,fast_food,McDonald's,Q38076,burger,McDonald's,McDonald's,Vancouver,-1
748,748,49.2812108,-123.0121616,2019-04-08T09:00:22.000-07:00,cafe,Starbucks,Q37158,coffee_shop,Starbucks,Starbucks,Burnaby,41
749,749,49.278021,-122.9094238,2020-01-18T09:03:22.000-08:00,cafe,Tim Hortons,Q175106,coffee_shop,Tim Hortons,Tim Hortons,Burnaby,7
750,750,49.0411852,-122.2205715,2019-06-17T23:13:28.000-07:00,fast_food,Pizza Hut Delivery,Q191615,pizza,Pizza Hut,Pizza Hut Delivery,Abbotsford,48
751,751,49.2809895,-123.0488387,2019-10-30T17:52:36.000-07:00,cafe,Chatime,Q16829306,bubble_tea,Chatime,Chatime,Vancouver,33
752,752,49.0509334,-122.3384838,2019-05-27T22:41:58.000-07:00,fast_food,Little Caesars,Q1393809,pizza,Little Caesars,Little Caesars,Abbotsford,14
753,753,49.1576414,-122.8907428,2019-09-28T08:09:19.000-07:00,restaurant,Denny's,Q1189695,american,Denny's,Denny's,Delta,24
754,754,49.2579872,-123.1685632,2019-09-13T13:56:49.000-07:00,fast_food,Subway,Q244457,sandwich,Subway,Subway,Vancouver,0
755,755,49.1352538,-122.8460589,2019-09-13T13:56:49.000-07:00,fast_food,KFC,Q524757,chicken,KFC,KFC,Surrey,16
756,756,49.1343232,-122.8885258,2019-06-25T02:54:10.000-07:00,fast_food,Quiznos,Q1936229,sandwich,Quiznos,Quiznos,Surrey,40
757,757,49.1343267,-122.8859602,2019-06-25T02:54:10.000-07:00,cafe,Tim Hortons,Q175106,coffee_shop,Tim Hortons,Tim Hortons,Surrey,40
758,758,49.1343226,-122.887236,2019-06-25T02:54:10.000-07:00,fast_food,KFC,Q524757,chicken,KFC,KFC,Surrey,40
759,759,49.1144809,-122.680051,2019-09-13T13:56:49.000-07:00,ice_cream,Baskin-Robbins,Q584601,ice_cream,Baskin-Robbins,Baskin-Robbins,Surrey,15
760,760,49.2561422,-123.1855168,2019-08-29T19:07:45.000-07:00,cafe,Tim Hortons,Q175106,coffee_shop,Tim Hortons,Tim Hortons,Vancouver,-1
761,761,49.2830656,-123.1164538,2019-12-04T04:08:42.000-08:00,cafe,Tim Hortons,Q175106,coffee_shop,Tim Hortons,Tim Hortons,Vancouver,0
762,762,49.263332,-123.1329176,2019-08-29T18:25:42.000-07:00,fast_food,Subway,Q244457,sandwich,Subway,Subway,Vancouver,0
763,763,49.2633326,-123.1328362,2019-08-29T18:25:42.000-07:00,fast_food,Panago,Q17111672,pizza,Panago,Panago,Vancouver,0
764,764,49.3737353,-123.2746745,2019-09-26T17:06:27.000-07:00,fast_food,Subway,Q244457,sandwich,Subway,Subway,West Vancouver,-1
765,765,49.0901287,-122.6046687,2019-07-12T07:49:23.000-07:00,fast_food,Subway,Q244457,sandwich,Subway,Subway,,36
766,766,49.0601621,-122.4944377,2019-10-13T05:52:20.000-07:00,cafe,Starbucks,Q37158,coffee_shop,Starbucks,Starbucks,,47
767,767,49.0601181,-122.4943564,2019-10-13T05:52:20.000-07:00,fast_food,Subway,Q244457,sandwich,Subway,Subway,,47
768,768,49.2823104,-122.8003976,2020-01-14T20:22:19.000-08:00,fast_food,Little Caesars,Q1393809,pizza,Little Caesars,Little Caesars,Coquitlam,21
769,769,49.0600466,-122.4938417,2020-01-15T21:07:58.000-08:00,fast_food,Arby's,Q630866,sandwich,Arby's,Arby's,,47
770,770,49.2642976,-123.0036942,2019-09-13T13:57:05.000-07:00,fast_food,Domino's Pizza,Q839466,pizza,Domino's Pizza,Domino's Pizza,Burnaby,17
771,771,49.2057308,-123.0105665,2019-09-13T13:57:07.000-07:00,cafe,Tim Hortons,Q175106,coffee_shop,Tim Hortons,Tim Hortons,Burnaby,-1
772,772,49.2059018,-123.0110355,2020-02-26T18:30:33.000-08:00,fast_food,Quesada,Q66070360,mexican,Quesada,Quesada,Burnaby,-1
773,773,49.2059041,-123.0111841,2019-09-13T13:57:07.000-07:00,restaurant,Freshii,Q5503051,salad,Freshii,Freshii,Burnaby,-1
774,774,49.2310932,-123.155862,2019-09-13T13:57:07.000-07:00,cafe,Chatime,Q16829306,bubble_tea,Chatime,Chatime,Vancouver,5
775,775,49.1926706,-123.1808659,2019-09-14T05:00:22.000-07:00,fast_food,Carl's Jr.,Q1043486,burger,Carl's Jr.,Carl's Jr.,Richmond,1
776,776,49.192354,-123.1801464,2019-09-14T05:00:22.000-07:00,cafe,Starbucks,Q37158,coffee_shop,Starbucks,Starbucks,Richmond,1
777,777,49.2157729,-122.5910456,2019-04-13T20:22:56.000-07:00,fast_food,McDonald's,Q38076,burger,McDonald's,McDonald's,Maple Ridge,32
778,778,49.2162564,-122.5898977,2019-12-24T04:25:28.000-08:00,fast_food,A&W,Q2818848,burger,A&W,A&W,Maple Ridge,32
779,779,49.0580197,-122.3767398,2019-09-25T14:41:41.000-07:00,fast_food,McDonald's,Q38076,burger,McDonald's,McDonald's,Abbotsford,34
780,780,49.0580291,-122.3771818,2019-09-25T14:41:41.000-07:00,cafe,Tim Hortons,Q175106,coffee_shop,Tim Hortons,Tim Hortons,Abbotsford,34
781,781,49.2788511,-123.1156891,2019-06-20T19:14:33.000-07:00,fast_food,McDonald's,Q38076,burger,McDonald's,McDonald's,Vancouver,0
782,782,49.2272788,-123.0001497,2019-07-15T03:19:59.000-07:00,fast_food,Dairy Queen,Q1141226,ice_cream;burger,Dairy Queen,Dairy Queen,Burnaby,19
783,783,49.1767465,-122.866574,2019-09-13T13:57:05.000-07:00,fast_food,Subway,Q244457,sandwich,Subway,Subway,Surrey,-1
784,784,49.2681702,-123.1469926,2019-11-28T00:37:06.000-08:00,fast_food,Noodle Box,Q7049671,noodle,Noodle Box,Noodle Box,Vancouver,0
785,785,49.2512037,-122.8925446,2019-11-28T08:53:16.000-08:00,fast_food,Church's Chicken,Q1089932,chicken,Church's Chicken,Church's Chicken,Coquitlam,11
786,786,49.2596905,-123.0438986,2019-09-13T13:56:58.000-07:00,cafe,Starbucks,Q37158,coffee_shop,Starbucks,Starbucks,Vancouver,17
787,787,49.2586029,-123.0307066,2019-06-09T12:50:15.000-07:00,cafe,Starbucks,Q37158,coffee_shop,Starbucks,Starbucks,Vancouver,17
788,788,49.2821466,-123.1185541,2019-08-29T17:51:24.000-07:00,cafe,Tim Hortons,Q175106,coffee_shop,Tim Hortons,Tim Hortons,Vancouver,0
789,789,49.0582577,-122.8024115,2019-06-28T17:45:46.000-07:00,fast_food,Wendy's,Q550258,burger,Wendy's,Wendy's,Surrey,46
790,790,49.058254,-122.8022881,2019-06-28T17:45:46.000-07:00,cafe,Tim Hortons,Q175106,coffee_shop,Tim Hortons,Tim Hortons,Surrey,46
791,791,49.2415237,-123.0577701,2019-10-28T18:00:55.000-07:00,fast_food,Subway,Q244457,sandwich,Subway,Subway,Vancouver,-1
792,792,49.374243,-123.273188,2020-03-22T15:02:58.000-07:00,ice_cream,Baskin-Robbins,Q584601,ice_cream,Baskin-Robbins,Baskin-Robbins,West Vancouver,-1
793,793,49.2445292,-123.1257268,2019-08-29T17:49:06.000-07:00,cafe,Second Cup,Q862180,coffee_shop,Second Cup,Second Cup,Vancouver,0
794,794,49.2740362,-123.1222575,2020-02-19T07:58:37.000-08:00,fast_food,Subway,Q244457,sandwich,Subway,Subway,Vancouver,0
795,795,49.3285067,-123.161746,2019-12-28T18:04:08.000-08:00,fast_food,Dairy Queen,Q1141226,ice_cream;burger,Dairy Queen,Dairy Queen,West Vancouver,-1
796,796,49.328484,-123.1608655,2019-12-28T18:04:08.000-08:00,cafe,Starbucks,Q37158,coffee_shop,Starbucks,Starbucks,West Vancouver,-1
797,797,49.1890794,-122.8474254,2019-11-20T05:11:12.000-08:00,fast_food,Freshslice Pizza,Q5503082,pizza,Freshslice Pizza,Freshslice Pizza,Surrey,29
798,798,49.1445089,-123.0035868,2019-11-20T12:23:08.000-08:00,fast_food,Subway,Q244457,sandwich,Subway,Subway,Delta,-1
