,lat,lon,timestamp,amenity,name,brand:wikidata,cuisine,brand,chain_name,city
240,49.222971,-122.9841291,2019-07-02T01:21:58.000-07:00,restaurant,White Spot,Q7995414,burger,White Spot,White Spot,Burnaby
241,49.2228133,-122.9835929,2019-07-02T01:21:58.000-07:00,fast_food,Little Caesars,Q1393809,pizza,Little Caesars,Little Caesars,Burnaby
242,49.2280822,-122.9978351,2019-07-05T05:09:00.000-07:00,fast_food,Subway,Q244457,sandwich,Subway,Subway,Burnaby
243,49.2484965,-123.0899419,2019-10-29T21:16:32.000-07:00,fast_food,Subway,Q244457,sandwich,Subway,Subway,Vancouver
244,49.2133637,-122.9197114,2019-09-13T13:57:04.000-07:00,fast_food,Papa John's,Q2759586,pizza,Papa John's,Papa John's,New Westminster
245,49.2889429,-123.1390161,2019-08-29T18:01:23.000-07:00,fast_food,Burger King,Q177054,burger,Burger King,Burger King,Vancouver
246,49.2060719,-123.125509,2019-08-11T00:05:00.000-07:00,fast_food,McDonald's,Q38076,burger,McDonald's,McDonald's,Vancouver
247,49.2251518,-123.0904703,2019-11-07T19:56:30.000-08:00,cafe,Starbucks,Q37158,coffee_shop,Starbucks,Starbucks,Vancouver
248,49.2510662,-123.0786825,2020-03-20T18:27:53.000-07:00,fast_food,Domino's,Q839466,pizza,Domino's,Domino's,Vancouver
249,49.1624616,-122.7905606,2020-06-20T09:22:50.000-07:00,fast_food,Subway,Q244457,sandwich,Subway,Subway,Surrey
250,49.036598,-122.2939306,2019-06-17T23:11:39.000-07:00,cafe,Tim Hortons,Q175106,coffee_shop,Tim Hortons,Tim Hortons,Abbotsford
251,49.2105091,-123.1069,2019-08-11T00:05:00.000-07:00,cafe,Starbucks,Q37158,coffee_shop,Starbucks,Starbucks,Vancouver
252,49.280548,-123.1213662,2019-09-26T02:10:05.000-07:00,fast_food,McDonald's,Q38076,burger,McDonald's,McDonald's,Vancouver
253,49.28109,-123.1190968,2019-09-02T22:08:25.000-07:00,fast_food,Five Guys,Q1131810,burger,Five Guys,Five Guys,Vancouver
254,49.2616851,-123.0700316,2019-08-02T02:24:13.000-07:00,fast_food,Subway,Q244457,sandwich,Subway,Subway,Vancouver
255,49.2820489,-123.118486,2019-11-11T23:55:54.000-08:00,cafe,Starbucks,Q37158,coffee_shop,Starbucks,Starbucks,Vancouver
256,49.2733132,-123.11993,2019-08-29T17:39:49.000-07:00,cafe,Starbucks,Q37158,coffee_shop,Starbucks,Starbucks,Vancouver
